dimDatePostPK,Dates,Year,Month,MonthPeriod,MonthYear,Day,DayName
20200209,2/9/2020,2020,February,202002,Feb-20,9,Sunday
20200210,2/10/2020,2020,February,202002,Feb-20,10,Monday
20200211,2/11/2020,2020,February,202002,Feb-20,11,Tuesday
20200212,2/12/2020,2020,February,202002,Feb-20,12,Wednesday
20200213,2/13/2020,2020,February,202002,Feb-20,13,Thursday
20200214,2/14/2020,2020,February,202002,Feb-20,14,Friday
20200215,2/15/2020,2020,February,202002,Feb-20,15,Saturday
20200216,2/16/2020,2020,February,202002,Feb-20,16,Sunday
20200217,2/17/2020,2020,February,202002,Feb-20,17,Monday
20200218,2/18/2020,2020,February,202002,Feb-20,18,Tuesday
20200219,2/19/2020,2020,February,202002,Feb-20,19,Wednesday
20200220,2/20/2020,2020,February,202002,Feb-20,20,Thursday
20200221,2/21/2020,2020,February,202002,Feb-20,21,Friday
20200222,2/22/2020,2020,February,202002,Feb-20,22,Saturday
20200223,2/23/2020,2020,February,202002,Feb-20,23,Sunday
20200224,2/24/2020,2020,February,202002,Feb-20,24,Monday
20200225,2/25/2020,2020,February,202002,Feb-20,25,Tuesday
20200226,2/26/2020,2020,February,202002,Feb-20,26,Wednesday
20200227,2/27/2020,2020,February,202002,Feb-20,27,Thursday
20200228,2/28/2020,2020,February,202002,Feb-20,28,Friday
20200229,2/29/2020,2020,February,202002,Feb-20,29,Saturday
20200301,3/1/2020,2020,March,202003,Mar-20,1,Sunday
20200302,3/2/2020,2020,March,202003,Mar-20,2,Monday
20200303,3/3/2020,2020,March,202003,Mar-20,3,Tuesday
20200304,3/4/2020,2020,March,202003,Mar-20,4,Wednesday
20200305,3/5/2020,2020,March,202003,Mar-20,5,Thursday
20200306,3/6/2020,2020,March,202003,Mar-20,6,Friday
20200307,3/7/2020,2020,March,202003,Mar-20,7,Saturday
20200308,3/8/2020,2020,March,202003,Mar-20,8,Sunday
20200309,3/9/2020,2020,March,202003,Mar-20,9,Monday
20200310,3/10/2020,2020,March,202003,Mar-20,10,Tuesday
20200311,3/11/2020,2020,March,202003,Mar-20,11,Wednesday
20200312,3/12/2020,2020,March,202003,Mar-20,12,Thursday
20200313,3/13/2020,2020,March,202003,Mar-20,13,Friday
20200314,3/14/2020,2020,March,202003,Mar-20,14,Saturday
